,title,freq,D
0,абажур,4.9,90
1,аббат,1.6,79
2,аббатство,0.9,77
3,аббревиатура,3.5,91
4,аберрация,0.7,79
5,абзац,10.2,87
6,абитуриент,4.0,88
7,абонемент,1.8,87
8,абонент,10.6,83
9,абордаж,0.5,85
10,абориген,5.8,82
11,аборт,8.3,87
12,абракадабра,1.0,83
13,абрек,1.3,65
14,абрикос,3.3,80
15,абрис,1.1,83
16,абсент,1.4,62
17,абсолют,2.9,89
18,абсолютизация,0.6,71
19,абсолютизм,1.2,77
20,абсолютность,0.4,82
21,абстрагирование,0.5,63
22,абстракционизм,0.6,85
23,абстракционист,0.6,80
24,абстракция,5.6,82
25,абсурд,9.1,93
26,абсурдность,1.5,90
27,абсцесс,0.4,74
28,абсцисса,0.9,65
29,абхазец,0.6,79
30,авангард,9.8,88
31,авангардизм,0.5,80
32,авангардист,1.6,84
33,аванс,7.1,93
34,авансцена,2.5,88
35,авантюра,5.5,91
36,авантюризм,1.2,89
37,авантюрист,4.1,92
38,авантюристка,0.6,83
39,аварийность,1.3,79
40,авария,29.6,91
41,август,91.0,93
42,авеню,2.3,78
43,авиа,0.8,77
44,авиабаза,2.3,82
45,авиабилет,1.7,87
46,авиабомба,0.7,84
47,авиадвигатель,0.7,77
48,авиадиспетчер,0.7,70
49,авиазавод,0.6,80
50,авиакатастрофа,1.1,86
51,авиакомпания,10.9,84
52,авиаконструктор,0.9,80
53,авиалайнер,1.2,85
54,авиалиния,2.3,83
55,авианосец,3.0,74
56,авиаотряд,0.4,73
57,авиаперевозка,1.1,79
58,авиаперевозчик,0.8,81
59,авиапредприятие,0.7,65
60,авиапром,0.8,73
61,авиапромышленность,0.5,81
62,авиарейс,0.6,84
63,авиасалон,1.5,65
64,авиастроение,0.8,80
65,авиастроитель,0.5,80
66,авиатехник,1.1,81
67,авиатор,1.8,86
68,авиация,38.8,89
69,авионика,0.9,70
70,авитаминоз,1.0,82
71,авокадо,0.8,84
72,авоська,4.9,87
73,аврал,1.3,85
74,австралиец,2.2,80
75,австриец,2.6,88
76,авто,6.3,89
77,автобаза,1.4,86
78,автобан,1.1,76
79,автобиография,4.0,90
80,автобус,64.8,94
81,автовладелец,2.6,84
82,автовокзал,1.0,82
83,автоген,0.5,79
84,автогигант,0.5,78
85,автогонки,1.7,83
86,автогонщик,0.7,84
87,автограф,10.3,91
88,автодорога,2.7,86
89,автодром,3.7,76
90,автозавод,4.3,85
91,автозаводец,0.8,78
92,автозаправка,0.4,78
93,автозапчасти,0.4,77
94,автоинспекция,0.5,83
95,автокатастрофа,1.9,88
96,автоклав,0.8,61
97,автоколонна,1.2,80
98,автокран,1.1,68
99,автолюбитель,3.0,88
100,автомагистраль,1.4,83
101,автомастерская,0.6,78
102,автомат,56.0,92
103,автоматизация,8.5,85
104,автоматизм,1.6,88
105,автоматика,4.9,83
106,автоматчик,4.5,85
107,автомашина,10.4,91
108,автомеханик,0.5,74
109,автомобилестроение,1.6,87
110,автомобилестроитель,0.5,76
111,автомобилист,3.8,88
112,автомобиль,156.9,92
113,автомобильчик,0.8,85
114,автономия,8.9,88
115,автономность,1.1,83
116,автоответчик,2.9,79
117,автопарк,1.3,86
118,автопилот,7.4,80
119,автопоезд,0.9,71
120,автопортрет,1.8,84
121,автопредприятие,0.4,79
122,автопроизводитель,1.5,85
123,автопром,1.8,82
124,автор,262.1,93
125,авторадио,0.4,65
126,автореферат,2.3,68
127,авторизация,0.5,63
128,авторитаризм,1.1,84
129,авторитарность,0.4,78
130,авторитет,37.1,94
131,авторитетность,0.5,78
132,авторство,4.6,89
133,авторучка,3.8,89
134,авторынок,0.7,80
135,автосалон,4.3,86
136,автосамосвал,1.7,62
137,автосервис,2.1,86
138,автослесарь,0.5,74
139,автоспорт,2.8,83
140,автостанция,0.4,82
141,автостоп,0.8,71
142,автостоянка,3.4,85
143,автострада,2.5,69
144,автострахование,0.4,72
145,автотранспорт,5.4,88
146,автотрасса,0.7,82
147,автофургон,0.6,81
148,автохозяйство,0.4,77
149,автоцентр,0.5,76
150,автоцистерна,0.4,72
151,автошкола,0.8,68
152,ага,0.9,79
153,агат,0.8,83
154,агент,39.2,92
155,агентство,49.1,91
156,агентура,3.4,83
157,агитатор,3.2,85
158,агитация,8.7,91
159,агитка,0.5,80
160,агитпроп,0.9,82
161,агитпункт,0.4,63
162,агнец,2.5,61
163,агностик,0.5,78
164,агония,3.1,92
165,аграрий,3.3,83
166,агрегат,18.5,87
167,агрегирование,0.5,62
168,агрессивность,4.2,91
169,агрессия,13.1,91
170,агрессор,3.5,87
171,агроном,5.4,82
172,агрономия,0.4,74
173,агропром,0.4,82
174,агротехника,0.6,81
175,агрофирма,0.8,68
176,агрохолдинг,0.5,75
177,ад,23.7,91
178,адажио,0.4,70
179,адаптация,12.6,81
180,адаптер,0.6,75
181,адаптивность,0.5,74
182,адвентист,0.4,66
183,адвокат,49.3,86
184,адвокатура,2.4,74
185,адгезия,1.1,71
186,адекватность,2.7,77
187,адепт,2.8,89
188,администратор,15.6,90
189,администраторша,0.7,79
190,администрация,98.3,90
191,администрирование,2.4,84
192,адмирал,13.5,90
193,адреналин,2.8,91
194,адрес,92.7,94
195,адресат,6.7,92
196,адресок,0.9,81
197,адсорбция,1.8,63
198,адъютант,6.7,86
199,адюльтер,1.2,86
200,ажиотаж,4.0,90
201,ажур,1.0,82
202,аз,4.8,86
203,азарт,11.8,94
204,азбука,3.7,89
205,азер,0.4,69
206,азербайджанец,5.9,81
207,азиат,2.3,85
208,азимут,1.6,83
209,азот,7.9,80
210,аи,1.4,85
211,аир,0.6,70
212,аист,3.1,86
213,айва,0.9,64
214,айкидо,0.8,76
215,айсберг,4.2,87
216,академгородок,1.9,79
217,академизм,0.8,79
218,академик,49.2,90
219,академия,70.3,92
220,акафист,1.2,77
221,акация,4.1,88
222,акваланг,1.9,77
223,аквалангист,0.9,77
224,аквапарк,0.9,81
225,акварель,4.0,90
226,аквариум,8.3,90
227,акватория,4.2,80
228,акведук,0.4,77
229,акклиматизация,1.0,80
230,аккомпанемент,3.7,89
231,аккомпаниатор,1.0,80
232,аккорд,7.0,91
233,аккордеон,4.2,78
234,аккордеонист,0.5,79
235,аккредитация,2.1,84
236,аккумулирование,0.4,77
237,аккумулятор,5.1,90
238,аккумуляция,0.9,66
239,аккурат,1.0,85
240,аккуратность,2.4,93
241,акмеизм,0.8,61
242,акмеист,0.8,69
243,акр,1.0,69
244,акробат,2.5,80
245,акробатика,1.1,85
246,акрополь,0.6,77
247,акростих,0.4,71
248,аксакал,0.8,79
249,акселератор,0.8,84
250,акселерация,0.8,75
251,аксель,0.8,72
252,аксельбант,0.7,79
253,аксессуар,5.5,87
254,аксиома,8.5,76
255,акт,113.6,84
256,актер,114.4,87
257,актерство,1.0,85
258,актив,32.7,89
259,активатор,0.7,63
260,активация,3.7,71
261,активизация,7.3,86
262,активист,6.3,90
263,активистка,1.2,84
264,активность,58.5,83
265,актинидия,0.4,65
266,актор,0.4,69
267,актриса,40.4,88
268,актуализация,2.1,75
269,актуальность,8.0,87
270,акула,9.3,80
271,акустика,2.2,89
272,акушер,0.8,70
273,акушерка,1.7,80
274,акушерство,0.7,82
275,акцент,26.2,94
276,акцентирование,0.5,79
277,акциз,5.3,83
278,акционер,36.3,78
279,акционирование,1.4,83
280,акция,98.5,89
281,акын,0.5,75
282,алан,3.1,77
283,албанец,2.1,74
284,алгебра,3.9,85
285,алгоритм,26.5,71
286,алебарда,0.6,81
287,алжирец,0.4,77
288,алиби,2.6,78
289,алкалоид,0.6,71
290,алкаш,4.8,87
291,алкоголизм,5.8,90
292,алкоголик,10.0,93
293,алкоголичка,0.8,84
294,алкоголь,20.4,93
295,аллах,8.5,89
296,аллегория,2.3,91
297,аллейка,0.8,84
298,аллерген,0.9,75
299,аллергик,0.5,72
300,аллергия,7.0,85
301,аллея,16.0,93
302,аллигатор,0.5,78
303,аллитерация,0.5,82
304,аллюзия,1.8,86
305,аллюр,0.8,79
306,алмаз,16.7,87
307,алоэ,1.0,69
308,алтарь,9.2,83
309,алфавит,5.8,89
310,алхимик,1.7,84
311,алхимия,1.2,78
312,алчность,1.5,85
313,алыча,0.8,77
314,альбатрос,1.2,61
315,альбинос,0.7,76
316,альбом,23.7,93
317,альбомчик,0.6,76
318,альбумин,0.8,70
319,альков,0.4,80
320,альма-матер,0.4,79
321,альманах,4.7,89
322,альпинарий,0.7,72
323,альпинизм,1.1,79
324,альпинист,4.3,86
325,альтернатива,14.4,91
326,альтернативщик,0.9,76
327,альтруизм,1.0,84
328,альтруист,0.5,80
329,альфа,5.2,84
330,альцгеймер,0.6,64
331,альянс,10.1,88
332,алюминий,10.9,88
333,алюмосиликат,0.4,64
334,амальгама,0.5,79
335,амбал,2.1,71
336,амбар,4.9,85
337,амбициозность,0.6,82
338,амбиция,13.2,92
339,амбразура,2.3,82
340,амброзия,0.5,80
341,амбулатория,1.2,68
342,амвон,1.0,81
343,амеба,0.8,85
344,американец,78.8,91
345,американизм,0.7,65
346,американка,4.4,88
347,аминокислота,4.7,73
348,амнезия,0.8,82
349,амнистия,8.2,85
350,амок,0.5,61
351,аморализм,0.4,80
352,аморалка,0.4,81
353,аморальность,0.7,75
354,амортизатор,2.2,87
355,амортизация,2.8,83
356,ампир,2.1,79
357,амплитуда,4.6,76
358,амплуа,3.7,89
359,ампула,3.7,87
360,ампутация,1.2,85
361,амулет,3.7,72
362,амуниция,1.7,90
363,амур,3.9,89
364,амфибия,0.7,81
365,амфитеатр,1.8,87
366,амфора,1.4,84
367,анаконда,0.4,80
368,анализ,157.0,81
369,анализатор,3.1,66
370,аналитик,18.1,88
371,аналитика,1.2,86
372,аналог,15.9,90
373,аналогия,14.6,85
374,аналой,0.6,71
375,анальгин,1.1,84
376,анамнез,0.7,76
377,ананас,3.6,90
378,анархизм,0.9,83
379,анархист,2.7,88
380,анархия,2.7,89
381,анатомичка,0.4,74
382,анатомия,4.9,73
383,анафема,1.5,89
384,анахронизм,1.8,90
385,анаша,1.1,80
386,ангажемент,0.4,78
387,ангажированность,0.7,84
388,ангар,3.5,81
389,ангел,32.4,91
390,ангелочек,1.0,86
391,ангел-хранитель,1.5,87
392,ангина,2.7,89
393,англичанин,30.1,84
394,англичанка,2.5,83
395,англосакс,0.6,78
396,андеграунд,2.0,70
397,андерграунд,0.4,71
398,анекдот,35.0,93
399,анемия,1.0,80
400,анестезиолог,1.0,72
401,анестезия,1.7,79
402,анизотропия,1.2,65
403,анимация,1.4,68
404,анис,0.5,79
405,анкета,14.4,94
406,анкетирование,1.1,81
407,анклав,1.2,82
408,анналы,1.5,82
409,аннексия,0.5,74
410,аннотация,1.9,88
411,аннулирование,1.3,67
412,анод,1.2,72
413,аномалия,6.9,79
414,аноним,1.2,67
415,анонимка,1.5,83
416,анонимность,1.5,84
417,анонс,1.3,87
418,ансамбль,21.7,89
419,антагонизм,1.6,87
420,антагонист,1.0,80
421,антенна,8.5,92
422,антиамериканизм,0.7,67
423,антибиотик,4.7,85
424,антиген,9.7,65
425,антигерой,0.4,77
426,антиглобалист,1.1,79
427,антидепрессант,0.5,81
428,антиквар,1.5,68
429,антиквариат,3.2,88
430,антикоммунизм,0.6,76
431,антикоммунист,0.8,81
432,антикрыло,1.7,78
433,антилопа,1.2,81
434,антимир,0.7,75
435,антиномия,0.8,69
436,антиоксидант,0.9,81
437,антипатия,2.5,91
438,антипод,2.4,90
439,антисанитария,0.4,79
440,антисемит,4.7,85
441,антисемитизм,9.2,86
442,антисептик,0.8,76
443,антисоветчик,1.1,88
444,антисоветчина,0.7,83
445,антитеза,1.2,83
446,антитело,23.6,65
447,антитеррор,0.9,77
448,антиутопия,0.7,79
449,антифашист,0.7,80
450,антифриз,0.5,71
451,антихрист,2.7,84
452,античность,4.9,69
453,антология,2.7,85
454,антоновка,1.0,69
455,антракт,5.3,89
456,антрацит,0.7,83
457,антрекот,0.5,68
458,антрепренер,0.8,71
459,антреприза,1.9,81
460,антресоли,2.3,89
461,антрополог,1.0,83
462,антропология,2.9,80
463,антураж,2.2,91
464,анус,0.6,67
465,анфилада,1.5,89
466,анчоус,0.6,70
467,аншлаг,2.7,84
468,апартаменты,5.5,89
469,апартеид,0.8,72
470,апатит,1.5,70
471,апатия,3.0,91
472,апач,0.5,77
473,апелляция,3.4,88
474,апельсин,7.6,93
475,аперитив,1.0,83
476,аплодисменты,19.6,90
477,апломб,1.2,90
478,апогей,2.4,90
479,апокалипсис,3.1,87
480,апокриф,1.3,73
481,аполитичность,0.5,82
482,апологет,1.8,88
483,апологетика,0.5,80
484,апология,1.1,87
485,апофеоз,3.3,90
486,аппарат,88.2,94
487,аппаратная,0.7,80
488,аппаратура,18.6,91
489,аппаратчик,1.6,86
490,аппендикс,1.0,84
491,аппендицит,2.1,87
492,аппетит,15.3,96
493,аппликация,1.1,85
494,аппроксимация,0.7,67
495,апрель,86.2,92
496,апробация,1.6,77
497,аптека,15.1,90
498,аптекарь,1.6,84
499,аптечка,3.1,88
500,ар,0.7,82
501,ара,0.4,79
502,араб,13.3,85
503,арак,0.4,71
504,аранжировка,1.8,85
505,арап,1.0,79
506,арахис,0.7,73
507,арба,0.7,74
508,арбитр,5.4,86
509,арбитраж,5.5,69
510,арбуз,9.1,89
511,аргентинец,1.5,81
512,арго,0.7,78
513,аргон,0.9,69
514,аргонавт,0.5,70
515,аргумент,28.5,94
516,аргументация,3.7,89
517,ареал,3.7,69
518,арена,13.5,92
519,аренда,27.5,86
520,арендатор,8.1,75
521,ареопаг,0.5,75
522,арест,46.5,89
523,арестант,5.8,68
524,арестованный,5.8,87
525,ариец,1.1,79
526,арий,0.6,76
527,аристократ,5.9,92
528,аристократизм,1.3,85
529,аристократия,2.6,88
530,аристократка,1.1,87
531,аритмия,1.4,75
532,арифметика,6.8,91
533,арифмометр,0.9,75
534,ария,6.7,85
535,арка,12.9,90
536,аркада,0.7,80
537,аркадия,0.5,66
538,аркан,3.1,69
539,арлекин,1.0,80
540,армада,1.3,77
541,арматура,4.5,76
542,армеец,2.4,85
543,армирование,0.4,63
544,армия,186.4,92
545,армяк,0.6,70
546,армянин,11.0,87
547,армянка,1.0,81
548,аромат,22.9,94
549,ароматерапия,0.5,77
550,арсенал,12.7,82
551,арт,1.8,80
552,арт-директор,1.2,84
553,артель,6.2,89
554,артефакт,1.1,79
555,артикул,0.5,77
556,артикуляция,1.0,85
557,артиллерист,5.9,86
558,артиллерия,13.7,89
559,артист,98.0,88
560,артистизм,2.2,89
561,артистическая,0.7,72
562,артистичность,0.6,82
563,артистка,11.6,88
564,артобстрел,0.5,84
565,артподготовка,1.1,83
566,артрит,1.1,84
567,арфа,2.6,84
568,архаизм,0.4,82
569,архаика,1.2,76
570,архангел,3.0,84
571,археолог,5.6,84
572,археология,2.8,85
573,архетип,2.6,73
574,архив,35.3,93
575,архивариус,0.7,72
576,архивист,0.5,78
577,архиепископ,10.5,80
578,архиерей,5.3,75
579,архимандрит,5.5,75
